Twitter-HyDrug
Epoch: 100, Train Loss: 17.6792, Valid Loss: 1.3394, Test  Loss: 1.2956, Train Acc: 96.25%, Valid Acc: 63.27%, Test  Acc: 65.01%, Train F1: 95.11%, Valid F1: 55.40%, Test  F1: 53.54%, 
Epoch: 101, Train Loss: 17.5874, Valid Loss: 1.4278, Test  Loss: 1.3591, Train Acc: 96.25%, Valid Acc: 64.29%, Test  Acc: 66.84%, Train F1: 94.93%, Valid F1: 56.05%, Test  F1: 54.78%, 
Epoch: 102, Train Loss: 17.5734, Valid Loss: 1.4231, Test  Loss: 1.3840, Train Acc: 96.59%, Valid Acc: 63.27%, Test  Acc: 65.64%, Train F1: 95.33%, Valid F1: 54.75%, Test  F1: 54.17%, 
Epoch: 103, Train Loss: 17.5975, Valid Loss: 1.4113, Test  Loss: 1.4473, Train Acc: 93.86%, Valid Acc: 62.24%, Test  Acc: 59.90%, Train F1: 90.68%, Valid F1: 59.66%, Test  F1: 53.94%, 
Epoch: 104, Train Loss: 17.5941, Valid Loss: 1.4479, Test  Loss: 1.4288, Train Acc: 96.59%, Valid Acc: 63.27%, Test  Acc: 64.11%, Train F1: 95.35%, Valid F1: 55.83%, Test  F1: 53.02%, 
Epoch: 105, Train Loss: 17.6008, Valid Loss: 1.4758, Test  Loss: 1.4299, Train Acc: 96.59%, Valid Acc: 62.59%, Test  Acc: 64.88%, Train F1: 95.15%, Valid F1: 53.75%, Test  F1: 53.27%, 
Epoch: 106, Train Loss: 17.5401, Valid Loss: 1.4070, Test  Loss: 1.3984, Train Acc: 97.27%, Valid Acc: 60.20%, Test  Acc: 62.92%, Train F1: 95.91%, Valid F1: 53.97%, Test  F1: 53.73%, 
Epoch: 107, Train Loss: 17.5322, Valid Loss: 1.4287, Test  Loss: 1.4015, Train Acc: 97.61%, Valid Acc: 61.56%, Test  Acc: 63.30%, Train F1: 96.62%, Valid F1: 54.65%, Test  F1: 53.50%, 
Epoch: 108, Train Loss: 17.5591, Valid Loss: 1.5523, Test  Loss: 1.4667, Train Acc: 97.95%, Valid Acc: 62.24%, Test  Acc: 65.43%, Train F1: 97.66%, Valid F1: 52.47%, Test  F1: 52.73%, 
Epoch: 109, Train Loss: 17.5979, Valid Loss: 1.3957, Test  Loss: 1.4155, Train Acc: 97.95%, Valid Acc: 62.24%, Test  Acc: 61.81%, Train F1: 96.97%, Valid F1: 58.16%, Test  F1: 53.97%, 
